Date,JPM,BAC,WFC,C
8/1/2017,90.889999,23.889999,51.07,68.029999
9/1/2017,95.510002,25.34,55.150002,72.739998
10/1/2017,100.610001,27.389999,56.139999,73.5
11/1/2017,104.519997,28.17,56.470001,75.5
12/1/2017,106.940002,29.52,60.669998,74.410004
1/1/2018,115.669998,32,65.779999,78.480003
2/1/2018,115.5,32.099998,58.41,75.489998
3/1/2018,109.970001,29.99,52.41,67.5
4/1/2018,108.779999,29.92,51.959999,68.269997
5/1/2018,107.010002,29.040001,53.990002,66.690002
6/1/2018,104.199997,28.190001,55.439999,66.919998
7/1/2018,114.949997,30.879999,57.290001,71.889999
8/1/2018,114.580002,30.93,58.48,71.239998
9/1/2018,112.839996,29.459999,52.560001,71.739998
10/1/2018,109.019997,27.5,53.23,65.459999
11/1/2018,111.190002,28.4,54.279999,64.790001
12/1/2018,97.620003,24.639999,46.080002,52.060001
1/1/2019,103.5,28.469999,48.91,64.459999
2/1/2019,104.360001,29.08,49.889999,63.98
3/1/2019,101.230003,27.59,48.32,62.220001
4/1/2019,116.050003,30.58,48.41,70.699997
5/1/2019,105.959999,26.6,44.369999,62.150002
6/1/2019,111.800003,29,47.32,70.029999
7/1/2019,116,30.68,48.41,71.160004
8/1/2019,109.860001,27.51,46.57,64.349998
9/1/2019,117.690002,29.17,50.439999,69.080002
10/1/2019,124.919998,31.27,51.630001,71.860001
11/1/2019,131.759995,33.32,54.459999,75.120003
12/1/2019,139.399994,35.220001,53.799999,79.889999
1/1/2020,132.360001,32.830002,46.939999,74.410004
2/1/2020,116.110001,28.5,40.849998,63.459999
3/1/2020,90.029999,21.23,28.700001,42.119999
4/1/2020,95.760002,24.049999,29.049999,48.560001
5/1/2020,97.309998,24.120001,26.469999,47.91
6/1/2020,94.059998,23.75,25.6,51.099998
7/1/2020,96.639999,24.879999,24.26,50.009998
8/1/2020,100.190002,25.74,24.15,51.119999
9/1/2020,96.269997,24.09,23.51,43.110001
10/1/2020,98.040001,23.700001,21.450001,41.419998
11/1/2020,117.879997,28.16,27.35,55.07
12/1/2020,127.07,30.309999,30.18,61.66
1/1/2021,128.669998,29.65,29.879999,57.990002
2/1/2021,147.169998,34.709999,36.169998,65.879997
3/1/2021,150.910004,36.93,37.43,70.230003
3/5/2021,150.910004,36.93,37.43,70.230003
