Date,BRK-A,WMT,PG,HD,COST,HON
7/1/2000,55100,55.25,28.5,51.75,32.5625,32.414562
8/1/2000,57700,47.625,30.914063,48.0625,34.4375,37.062241
9/1/2000,64400,48.125,33.5,52.9375,34.9375,33.963791
10/1/2000,63700,45.375,35.71875,43,36.625,51.3032
11/1/2000,65900,52.1875,37.4375,39.1875,32.625,46.476765
12/1/2000,71000,53.125,39.21875,45.6875,39.9375,45.106297
1/1/2001,68400,56.799999,35.919998,48.200001,46.25,45.046711
2/1/2001,70300,50.09,35.25,42.5,41.75,44.550957
3/1/2001,65450,50.5,31.299999,43.099998,39.25,38.897476
4/1/2001,68000,51.740002,30.025,47.099998,34.93,46.6007
5/1/2001,68700,51.75,32.119999,49.290001,38.91,46.143085
6/1/2001,69400,48.799999,31.9,47.240002,41.080002,33.272594
7/1/2001,69200,55.900002,35.509998,50.369999,43.049999,35.150734
8/1/2001,69400,48.049999,37.075001,45.950001,37.41,35.522549
9/1/2001,70000,49.5,36.395,38.369999,35.560001,25.168955
10/1/2001,71200,51.400002,36.889999,38.23,37.830002,28.17207
11/1/2001,70000,55.150002,38.73,46.650002,40.880001,31.594666
12/1/2001,75600,57.549999,39.564999,51.009998,44.380001,32.242958
1/1/2002,73900,59.98,40.84,50.09,46,32.042751
2/1/2002,73000,62.009998,42.395,50,41.259998,36.342445
3/1/2002,71100,61.299999,45.044998,48.610001,39.82,36.485451
4/1/2002,73450,55.860001,45.130001,46.369999,40.200001,34.969593
5/1/2002,74600,54.099998,44.775002,41.689999,39.27,37.372086
6/1/2002,66800,55.009998,44.650002,36.73,38.619999,33.587208
7/1/2002,68300,49.18,44.494999,30.879999,34.869999,30.851038
8/1/2002,73000,53.48,44.325001,32.93,33.41,28.553417
9/1/2002,73900,49.240002,44.689999,26.1,32.369999,20.649984
10/1/2002,74190,53.549999,44.224998,28.879999,33.93,22.823666
11/1/2002,72300,53.900002,42.264999,26.4,32.299999,24.79714
12/1/2002,72750,50.509998,42.970001,24.02,28.059999,22.880869
1/1/2003,67600,47.799999,42.785,20.9,28.870001,23.30035
2/1/2003,61700,48.060001,40.93,23.450001,30.52,21.822628
3/1/2003,63800,52.029999,44.525002,24.360001,30.030001,20.363974
4/1/2003,69815,56.32,44.924999,28.129999,34.610001,22.499521
5/1/2003,71000,52.610001,45.91,32.490002,37.25,24.978283
6/1/2003,72500,53.669998,44.59,33.119999,36.599998,25.597973
7/1/2003,72010,55.91,43.935001,31.200001,36.990002,26.96129
8/1/2003,75775,59.169998,43.645,32.16,32.25,27.638184
9/1/2003,75000,55.849998,46.41,31.85,31.15,25.121286
10/1/2003,77810,58.950001,49.145,37.07,35.450001,29.18264
11/1/2003,83750,55.639999,48.119999,36.759998,35.82,28.30554
12/1/2003,84250,53.049999,49.939999,35.490002,37.18,31.871143
1/1/2004,89490,53.849998,50.540001,35.470001,36.939999,34.435707
2/1/2004,94500,59.560001,51.255001,36.310001,38.860001,33.415604
3/1/2004,93300,59.689999,52.439999,37.360001,37.610001,32.271557
4/1/2004,93390,57,52.895,35.189999,37.5,32.967518
5/1/2004,89000,55.73,53.91,35.919998,37.900002,32.128551
6/1/2004,88950,52.5,54.439999,35.200001,41.18,34.921925
7/1/2004,87250,53.009998,52.150002,33.720001,40.709999,35.856228
8/1/2004,87000,52.669998,55.970001,36.560001,41.169998,34.302235
9/1/2004,86650,53.200001,54.119999,39.200001,41.509998,34.187832
10/1/2004,84250,53.919998,51.18,41.080002,47.939999,32.109486
11/1/2004,83700,52.060001,53.48,41.75,48.599998,33.682545
12/1/2004,87900,52.82,55.080002,42.740002,48.41,33.758816
1/1/2005,89900,52.400002,53.23,41.259998,47.27,34.302235
2/1/2005,90200,51.610001,53.09,40.02,46.59,36.19944
3/1/2005,87000,50.110001,53,38.240002,44.18,35.47488
4/1/2005,84350,47.139999,54.150002,35.369999,40.630001,34.092495
5/1/2005,84100,47.23,55.150002,39.349998,45.380001,34.540577
6/1/2005,83500,48.200001,52.75,38.900002,44.73,34.921925
7/1/2005,83500,49.349998,55.630001,43.509998,45.970001,37.448357
8/1/2005,83150,44.959999,55.48,40.32,43.400002,36.494984
9/1/2005,82000,43.82,59.459999,38.139999,43.09,35.751358
10/1/2005,85900,47.310001,55.990002,41.040001,48.369999,32.60524
11/1/2005,89390,48.560001,57.189999,41.779999,49.950001,34.836121
12/1/2005,88620,46.799999,57.880001,40.48,49.470001,35.513016
1/1/2006,89490,46.110001,59.23,40.549999,49.889999,36.628456
2/1/2006,86800,45.360001,59.93,42.150002,51.189999,39.040482
3/1/2006,90350,47.240002,57.630001,42.299999,54.16,40.775616
4/1/2006,89000,45.029999,58.209999,39.93,54.43,40.518204
5/1/2006,92290,48.450001,54.25,38.119999,52.93,39.259758
6/1/2006,91659,48.169998,55.599998,35.790001,57.130001,38.420792
7/1/2006,91600,44.5,56.200001,34.709999,52.759998,36.895401
8/1/2006,96097,44.720001,61.900002,34.290001,46.790001,36.914467
9/1/2006,95800,49.32,61.98,36.27,49.68,38.992813
10/1/2006,105475,49.279999,63.389999,37.330002,53.380001,40.155926
11/1/2006,107100,46.099998,62.790001,37.970001,52.299999,40.975822
12/1/2006,109990,46.18,64.269997,40.16,52.869999,43.130436
1/1/2007,110050,47.689999,64.870003,40.740002,56.16,43.559456
2/1/2007,106190,48.310001,63.490002,39.59,55.889999,44.236347
3/1/2007,108990,46.950001,63.16,36.740002,53.84,43.912201
4/1/2007,109200,47.919998,64.400002,37.869999,53.57,51.653561
5/1/2007,109490,47.599998,63.549999,38.869999,56.470001,55.209629
6/1/2007,109475,48.110001,61.189999,39.349998,58.52,53.655636
7/1/2007,110000,45.950001,61.860001,37.169998,59.799999,54.828281
8/1/2007,118390,43.630001,65.309998,38.310001,61.75,53.5317
9/1/2007,118510,43.650002,70.339996,32.439999,61.369999,56.696884
10/1/2007,132500,45.209999,69.519997,31.51,67.260002,57.593052
11/1/2007,140100,47.900002,74,28.559999,67.400002,53.979782
12/1/2007,141600,47.529999,73.419998,26.940001,69.760002,58.698963
1/1/2008,136000,50.740002,65.419998,30.639999,67.940002,56.315536
2/1/2008,140000,49.59,66.18,26.549999,61.919998,54.85688
3/1/2008,133400,52.68,70.07,27.969999,64.970001,53.789108
4/1/2008,133850,57.98,67.050003,28.799999,71.25,56.63015
5/1/2008,134650,57.740002,66.050003,27.360001,71.32,56.83989
6/1/2008,120750,56.200001,60.810001,23.42,70.139999,47.935421
7/1/2008,114450,58.619999,65.480003,23.83,62.68,48.469307
8/1/2008,116600,59.07,69.769997,27.120001,67.059998,47.830547
9/1/2008,130600,59.889999,69.690002,25.889999,64.93,39.612503
10/1/2008,115490,55.810001,64.540001,23.59,57.009998,29.030102
11/1/2008,104000,55.880001,64.349998,23.110001,51.470001,26.560875
12/1/2008,96600,56.060001,61.82,23.02,52.5,31.299122
1/1/2009,89502,47.119999,54.5,21.530001,45.029999,31.280054
2/1/2009,78600,49.240002,48.169998,20.889999,42.34,25.578903
3/1/2009,86700,52.099998,47.09,23.559999,46.32,26.560875
4/1/2009,94000,50.400002,49.439999,26.32,48.599998,29.754663
5/1/2009,91600,49.740002,51.939999,23.16,48.52,31.613733
6/1/2009,90000,48.439999,51.099998,23.629999,45.779999,29.935802
7/1/2009,97000,49.880001,55.509998,25.940001,49.5,33.081921
8/1/2009,100850,50.869999,54.110001,27.290001,50.98,35.045864
